2026-05-02 23:55:30 | INFO | step=Feature interactions | rule= | records_affected=48239 | action=Adding columns | rationale=To improve model expressiveness by exposing hidden nonlinear relationships and combined risk factors not captured by raw features
2026-05-02 23:55:30 | INFO | step=Feature Scaling | rule= | records_affected=48239 | action=Scaling Features by robust scaling | rationale=Data is mostly skewed so robust scaling would be the most accurate choice
2026-05-02 23:55:30 | INFO | step=Feature Encoding | rule= | records_affected=48239 | action=Encoding Features by binary scaling | rationale=Data is mostly nominal with high cardinality, so binary coding is the best choice
2026-05-02 23:55:30 | INFO | step=Variance Thresholding | rule= | records_affected=48239 | action=Columns Deletion | rationale=Any features having variance less than a certain threshold should be deleted
2026-05-02 23:55:30 | INFO | step=Correlation Based Selection | rule= | records_affected=48239 | action=Columns Deletion | rationale=For each correlated pair of columns, we drop the least correlated with the target
2026-05-03 13:42:58 | INFO | step=Feature interactions | rule= | records_affected=48239 | action=Adding columns | rationale=To improve model expressiveness by exposing hidden nonlinear relationships and combined risk factors not captured by raw features
2026-05-03 13:42:59 | INFO | step=Feature Scaling | rule= | records_affected=48239 | action=Scaling Features by robust scaling | rationale=Data is mostly skewed so robust scaling would be the most accurate choice
2026-05-03 13:42:59 | INFO | step=Feature Encoding | rule= | records_affected=48239 | action=Encoding Features by binary scaling | rationale=Data is mostly nominal with high cardinality, so binary coding is the best choice
2026-05-03 13:42:59 | INFO | step=Variance Thresholding | rule= | records_affected=48239 | action=Columns Deletion | rationale=Any features having variance less than a certain threshold should be deleted
2026-05-03 13:42:59 | INFO | step=Correlation Based Selection | rule= | records_affected=48239 | action=Columns Deletion | rationale=For each correlated pair of columns, we drop the least correlated with the target
2026-05-03 14:01:04 | INFO | step=Feature interactions | rule= | records_affected=48239 | action=Adding columns | rationale=To improve model expressiveness by exposing hidden nonlinear relationships and combined risk factors not captured by raw features
2026-05-03 14:01:04 | INFO | step=Feature Scaling | rule= | records_affected=48239 | action=Scaling Features by robust scaling | rationale=Data is mostly skewed so robust scaling would be the most accurate choice
2026-05-03 14:01:04 | INFO | step=Feature Encoding | rule= | records_affected=48239 | action=Encoding Features by binary scaling | rationale=Data is mostly nominal with high cardinality, so binary coding is the best choice
2026-05-03 14:01:05 | INFO | step=Variance Thresholding | rule= | records_affected=48239 | action=Columns Deletion | rationale=Any features having variance less than a certain threshold should be deleted
2026-05-03 14:01:05 | INFO | step=Correlation Based Selection | rule= | records_affected=48239 | action=Columns Deletion | rationale=For each correlated pair of columns, we drop the least correlated with the target
